Category,Subcategory,Template,Instance
Religion,Christian,Scumbag-Catholic-Priest,48207827
Religion,Christian,Scumbag-Catholic-Priest,46016153
Religion,Christian,Scumbag-Catholic-Priest,36705728
Religion,Christian,Scumbag-Catholic-Priest,75274383
Religion,Christian,Scumbag-Catholic-Priest,58453562
Religion,Christian,Scumbag-Catholic-Priest,59497575
Religion,Christian,Scumbag-Catholic-Priest,57593290
Religion,Christian,Scumbag-Catholic-Priest,44331779
Religion,Christian,Scumbag-Catholic-Priest,59497835
Religion,Christian,Condescending-Christian,44533167
Religion,Christian,Condescending-Christian,20183731
Religion,Christian,Condescending-Christian,31975143
Religion,Christian,Condescending-Christian,28019381
Religion,Christian,Condescending-Christian,30302155
Religion,Christian,Condescending-Christian,22518813
Religion,Christian,Condescending-Christian,37017805
Religion,Christian,Condescending-Christian,31877803
Religion,Christian,Condescending-Christian,32152065
Religion,Christian,Jesus-Christ,80758609
Religion,Christian,Jesus-Christ,49145997
Religion,Christian,Jesus-Christ,10857561
Religion,Christian,Jesus-Christ,33593428
Religion,Christian,Jesus-Christ,10655492
Religion,Christian,Jesus-Christ,78388562
Religion,Christian,Jesus-Christ,12057087
Religion,Christian,Jesus-Christ,75111534
Religion,Christian,Jesus-Christ,21769078
Religion,Islam,Angry-Muslim-Guy,78013894
Religion,Islam,Angry-Muslim-Guy,57864931
Religion,Islam,Angry-Muslim-Guy,41531136
Religion,Islam,Angry-Muslim-Guy,10875985
Religion,Islam,Angry-Muslim-Guy,57644349
Religion,Islam,Angry-Muslim-Guy,11771660
Religion,Islam,Angry-Muslim-Guy,78404343
Religion,Islam,Angry-Muslim-Guy,76205975
Religion,Islam,Angry-Muslim-Guy,76077590
Religion,Islam,Muslim-Immigrant,48621802
Religion,Islam,Muslim-Immigrant,37445410
Religion,Islam,Muslim-Immigrant,33894739
Religion,Islam,Muslim-Immigrant,63734145
Religion,Islam,Muslim-Immigrant,67242272
Religion,Islam,Muslim-Immigrant,33421187
Religion,Islam,Muslim-Immigrant,84946263
Religion,Islam,Muslim-Immigrant,76107842
Religion,Islam,Muslim-Immigrant,15035205
Religion,Islam,Confused-Muslim-Girl,76373357
Religion,Islam,Confused-Muslim-Girl,52581119
Religion,Islam,Confused-Muslim-Girl,52527656
Religion,Islam,Confused-Muslim-Girl,53405878
Religion,Islam,Confused-Muslim-Girl,52569863
Religion,Islam,Confused-Muslim-Girl,54260112
Religion,Islam,Confused-Muslim-Girl,53063377
Religion,Islam,Confused-Muslim-Girl,53299705
Religion,Islam,Confused-Muslim-Girl,53406441
Religion,Judaism,Advicejew,53190636
Religion,Judaism,Advicejew,10564905
Religion,Judaism,Advicejew,10527054
Religion,Judaism,Advicejew,12284662
Religion,Judaism,Advicejew,13240654
Religion,Judaism,Advicejew,10402592
Religion,Judaism,Advicejew,15180929
Religion,Judaism,Advicejew,14351198
Religion,Judaism,Advicejew,14852252
Religion,Judaism,Jewish-Dude,56146569
Religion,Judaism,Jewish-Dude,22516016
Religion,Judaism,Jewish-Dude,39886817
Religion,Judaism,Jewish-Dude,56358879
Religion,Judaism,Jewish-Dude,12014213
Religion,Judaism,Jewish-Dude,36578738
Religion,Judaism,Jewish-Dude,31854612
Religion,Judaism,Jewish-Dude,35335609
Religion,Judaism,Jewish-Dude,36516486
Religion,Judaism,Like-A-Jew,40380029
Religion,Judaism,Like-A-Jew,15149371
Religion,Judaism,Like-A-Jew,36218098
Religion,Judaism,Like-A-Jew,38347783
Religion,Judaism,Like-A-Jew,11070237
Religion,Judaism,Like-A-Jew,26478144
Religion,Judaism,Like-A-Jew,24456772
Religion,Judaism,Like-A-Jew,31668268
Religion,Judaism,Like-A-Jew,57199271
Countries,Germany,Typical-Germany-Lover,65069458
Countries,Germany,Typical-Germany-Lover,52121702
Countries,Germany,Typical-Germany-Lover,31605614
Countries,Germany,Typical-Germany-Lover,14740553
Countries,Germany,Typical-Germany-Lover,59367179
Countries,Germany,Typical-Germany-Lover,18421040
Countries,Germany,Typical-Germany-Lover,43164477
Countries,Germany,Typical-Germany-Lover,13783538
Countries,Germany,Typical-Germany-Lover,52250616
Countries,Germany,Germany-Pls,37733944
Countries,Germany,Germany-Pls,29645687
Countries,Germany,Germany-Pls,29088121
Countries,Germany,Germany-Pls,40299033
Countries,Germany,Germany-Pls,38870464
Countries,Germany,Germany-Pls,38209171
Countries,Germany,Germany-Pls,39464407
Countries,Germany,Germany-Pls,29053100
Countries,Germany,Germany-Pls,38412588
Countries,Germany,Success-Germany,33376476
Countries,Germany,Success-Germany,16424076
Countries,Germany,Success-Germany,28923081
Countries,Germany,Success-Germany,35557078
Countries,Germany,Success-Germany,36351454
Countries,Germany,Success-Germany,21984921
Countries,Germany,Success-Germany,16793330
Countries,Germany,Success-Germany,47651215
Countries,Germany,Success-Germany,19497626
Countries,USA,American-Pride-Eagle,-327351
Countries,USA,American-Pride-Eagle,-328707
Countries,USA,American-Pride-Eagle,-329554
Countries,USA,American-Pride-Eagle,-328663
Countries,USA,American-Pride-Eagle,-328098
Countries,USA,American-Pride-Eagle,-329889
Countries,USA,American-Pride-Eagle,-327699
Countries,USA,American-Pride-Eagle,-329162
Countries,USA,American-Pride-Eagle,-329000
Countries,USA,American-Flag-Shotgun-Guy,30645736
Countries,USA,American-Flag-Shotgun-Guy,62081295
Countries,USA,American-Flag-Shotgun-Guy,29204516
Countries,USA,American-Flag-Shotgun-Guy,52823891
Countries,USA,American-Flag-Shotgun-Guy,30036477
Countries,USA,American-Flag-Shotgun-Guy,63290990
Countries,USA,American-Flag-Shotgun-Guy,29897847
Countries,USA,American-Flag-Shotgun-Guy,42887495
Countries,USA,American-Flag-Shotgun-Guy,29993389
Countries,USA,Obese-American,49364714
Countries,USA,Obese-American,76433411
Countries,USA,Obese-American,76433416
Countries,USA,Obese-American,29285826
Countries,USA,Obese-American,20124540
Countries,USA,Obese-American,14434177
Countries,USA,Obese-American,26267922
Countries,USA,Obese-American,15011411
Countries,USA,Obese-American,14378444
Countries,Mexico,Successful-Mexican,-569270
Countries,Mexico,Successful-Mexican,-568036
Countries,Mexico,Successful-Mexican,-569006
Countries,Mexico,Successful-Mexican,-569751
Countries,Mexico,Successful-Mexican,-568672
Countries,Mexico,Successful-Mexican,-567692
Countries,Mexico,Successful-Mexican,-569086
Countries,Mexico,Successful-Mexican,-568373
Countries,Mexico,Successful-Mexican,-567451
Countries,Mexico,Mexicanotriste,75563729
Countries,Mexico,Mexicanotriste,10910789
Countries,Mexico,Mexicanotriste,45114629
Countries,Mexico,Mexicanotriste,21081627
Countries,Mexico,Mexicanotriste,36969466
Countries,Mexico,Mexicanotriste,30778632
Countries,Mexico,Mexicanotriste,27163546
Countries,Mexico,Mexicanotriste,20757190
Countries,Mexico,Mexicanotriste,19263300
Countries,Mexico,Mexicans-On-A-Truck,60910853
Countries,Mexico,Mexicans-On-A-Truck,59587686
Countries,Mexico,Mexicans-On-A-Truck,63600100
Countries,Mexico,Mexicans-On-A-Truck,47830489
Countries,Mexico,Mexicans-On-A-Truck,62498917
Countries,Mexico,Mexicans-On-A-Truck,56965323
Countries,Mexico,Mexicans-On-A-Truck,62686426
Countries,Mexico,Mexicans-On-A-Truck,57299530
Countries,Mexico,Mexicans-On-A-Truck,61236008
Countries,China,Stern-But-Honest-Chinese-Guy,14663841
Countries,China,Stern-But-Honest-Chinese-Guy,34002673
Countries,China,Stern-But-Honest-Chinese-Guy,63978515
Countries,China,Stern-But-Honest-Chinese-Guy,15438285
Countries,China,Stern-But-Honest-Chinese-Guy,24898883
Countries,China,Stern-But-Honest-Chinese-Guy,14072351
Countries,China,Stern-But-Honest-Chinese-Guy,20812459
Countries,China,Stern-But-Honest-Chinese-Guy,15438412
Countries,China,Stern-But-Honest-Chinese-Guy,26120332
Countries,China,Good-Chinese-Student,13853345
Countries,China,Good-Chinese-Student,34081737
Countries,China,Good-Chinese-Student,55267839
Countries,China,Good-Chinese-Student,14277162
Countries,China,Good-Chinese-Student,25581629
Countries,China,Good-Chinese-Student,24069110
Countries,China,Good-Chinese-Student,42431793
Countries,China,Good-Chinese-Student,60785087
Countries,China,Good-Chinese-Student,65701015
Countries,China,Nia-China,82309546
Countries,China,Nia-China,73546190
Countries,China,Nia-China,80868856
Countries,China,Nia-China,85879270
Countries,China,Nia-China,81489567
Countries,China,Nia-China,81253391
Countries,China,Nia-China,84245921
Countries,China,Nia-China,84197566
Countries,China,Nia-China,82426633
Countries,India,Generic-Indian-Guy,-858108
Countries,India,Generic-Indian-Guy,-860071
Countries,India,Generic-Indian-Guy,-858673
Countries,India,Generic-Indian-Guy,-860449
Countries,India,Generic-Indian-Guy,-858448
Countries,India,Generic-Indian-Guy,-858264
Countries,India,Generic-Indian-Guy,-859094
Countries,India,Generic-Indian-Guy,-860189
Countries,India,Generic-Indian-Guy,-859657
Countries,India,Indian-Father,35274462
Countries,India,Indian-Father,45958841
Countries,India,Indian-Father,34525438
Countries,India,Indian-Father,36491121
Countries,India,Indian-Father,41718724
Countries,India,Indian-Father,38276559
Countries,India,Indian-Father,44259449
Countries,India,Indian-Father,40417869
Countries,India,Indian-Father,40909228
Countries,India,Stereotypical-Indian-Telemarketer,12616412
Countries,India,Stereotypical-Indian-Telemarketer,10747424
Countries,India,Stereotypical-Indian-Telemarketer,19163306
Countries,India,Stereotypical-Indian-Telemarketer,14479594
Countries,India,Stereotypical-Indian-Telemarketer,15445955
Countries,India,Stereotypical-Indian-Telemarketer,14306311
Countries,India,Stereotypical-Indian-Telemarketer,14495285
Countries,India,Stereotypical-Indian-Telemarketer,10392342
Countries,India,Stereotypical-Indian-Telemarketer,13147657
Ethnicity,Asian,Asian-College-Freshman,19305415
Ethnicity,Asian,Asian-College-Freshman,13374676
Ethnicity,Asian,Asian-College-Freshman,13469513
Ethnicity,Asian,Asian-College-Freshman,11873740
Ethnicity,Asian,Asian-College-Freshman,12676177
Ethnicity,Asian,Asian-College-Freshman,13901252
Ethnicity,Asian,Asian-College-Freshman,14106131
Ethnicity,Asian,Asian-College-Freshman,10204296
Ethnicity,Asian,Asian-College-Freshman,13978347
Ethnicity,Asian,Bad-Advice-Asian,24425641
Ethnicity,Asian,Bad-Advice-Asian,34588520
Ethnicity,Asian,Bad-Advice-Asian,31407027
Ethnicity,Asian,Bad-Advice-Asian,29902011
Ethnicity,Asian,Bad-Advice-Asian,48103322
Ethnicity,Asian,Bad-Advice-Asian,34913777
Ethnicity,Asian,Bad-Advice-Asian,37613637
Ethnicity,Asian,Bad-Advice-Asian,36726112
Ethnicity,Asian,Bad-Advice-Asian,10492135
Ethnicity,Asian,Troll-Asian,25972692
Ethnicity,Asian,Troll-Asian,14290056
Ethnicity,Asian,Troll-Asian,13656330
Ethnicity,Asian,Troll-Asian,25214151
Ethnicity,Asian,Troll-Asian,86443361
Ethnicity,Asian,Troll-Asian,14008874
Ethnicity,Asian,Troll-Asian,18406007
Ethnicity,Asian,Troll-Asian,31201111
Ethnicity,Asian,Troll-Asian,26085930
Ethnicity,Black,Sassy-Black-Woman,28835680
Ethnicity,Black,Sassy-Black-Woman,-368619
Ethnicity,Black,Sassy-Black-Woman,38499876
Ethnicity,Black,Sassy-Black-Woman,-368936
Ethnicity,Black,Sassy-Black-Woman,28693653
Ethnicity,Black,Sassy-Black-Woman,-367594
Ethnicity,Black,Sassy-Black-Woman,-367395
Ethnicity,Black,Sassy-Black-Woman,28542274
Ethnicity,Black,Sassy-Black-Woman,-367817
Ethnicity,Black,Black-Kid,-712903
Ethnicity,Black,Black-Kid,-713952
Ethnicity,Black,Black-Kid,-712031
Ethnicity,Black,Black-Kid,-713134
Ethnicity,Black,Black-Kid,-711019
Ethnicity,Black,Black-Kid,-713800
Ethnicity,Black,Black-Kid,-711146
Ethnicity,Black,Black-Kid,-711634
Ethnicity,Black,Black-Kid,-711585
Ethnicity,Black,Skeptical-Black-Kid,-210884
Ethnicity,Black,Skeptical-Black-Kid,-210648
Ethnicity,Black,Skeptical-Black-Kid,-210277
Ethnicity,Black,Skeptical-Black-Kid,-211209
Ethnicity,Black,Skeptical-Black-Kid,-210601
Ethnicity,Black,Skeptical-Black-Kid,-211443
Ethnicity,Black,Skeptical-Black-Kid,-210443
Ethnicity,Black,Skeptical-Black-Kid,-212902
Ethnicity,Black,Skeptical-Black-Kid,-211772
